trajectory_ID	taxon	abundance	time	type
5	Bacteroides-vulgatus	794.437	45.9	simulation
5	Bacteroides-vulgatus	796.6742	46	simulation
5	Bacteroides-vulgatus	798.9177	46.1	simulation
5	Bacteroides-vulgatus	801.1676	46.2	simulation
5	Bacteroides-vulgatus	803.4237	46.3	simulation
5	Bacteroides-vulgatus	805.6863	46.4	simulation
5	Bacteroides-vulgatus	807.9552	46.5	simulation
5	Bacteroides-vulgatus	810.2304	46.6	simulation
5	Bacteroides-vulgatus	812.5121	46.7	simulation
5	Bacteroides-vulgatus	814.8003	46.8	simulation
5	Bacteroides-vulgatus	817.0948	46.9	simulation
5	Bacteroides-vulgatus	819.3958	47	simulation
5	Bacteroides-vulgatus	821.7033	47.1	simulation
5	Bacteroides-vulgatus	824.0174	47.2	simulation
5	Bacteroides-vulgatus	826.3379	47.3	simulation
5	Bacteroides-vulgatus	828.6649	47.4	simulation
5	Bacteroides-vulgatus	830.9985	47.5	simulation
5	Bacteroides-vulgatus	833.3387	47.6	simulation
5	Bacteroides-vulgatus	835.6855	47.7	simulation
5	Bacteroides-vulgatus	838.0389	47.8	simulation
5	Bacteroides-vulgatus	840.3989	47.9	simulation
5	Bacteroides-vulgatus	842.7655	48	simulation
5	Bacteroides-vulgatus	845.1388	48.1	simulation
5	Bacteroides-vulgatus	847.5188	48.2	simulation
5	Bacteroides-vulgatus	849.9055	48.3	simulation
5	Bacteroides-vulgatus	852.299	48.4	simulation
5	Bacteroides-vulgatus	854.6991	48.5	simulation
5	Bacteroides-vulgatus	857.1061	48.6	simulation
5	Bacteroides-vulgatus	859.5198	48.7	simulation
5	Bacteroides-vulgatus	861.9403	48.8	simulation
5	Bacteroides-vulgatus	864.3676	48.9	simulation
5	Bacteroides-vulgatus	866.8017	49	simulation
5	Bacteroides-vulgatus	869.2427	49.1	simulation
5	Bacteroides-vulgatus	871.6906	49.2	simulation
5	Bacteroides-vulgatus	874.1454	49.3	simulation
5	Bacteroides-vulgatus	876.6071	49.4	simulation
5	Bacteroides-vulgatus	879.0757	49.5	simulation
5	Bacteroides-vulgatus	881.5513	49.6	simulation
5	Bacteroides-vulgatus	884.0338	49.7	simulation
5	Bacteroides-vulgatus	886.5233	49.8	simulation
5	Bacteroides-vulgatus	889.0199	49.9	simulation
5	Bacteroides-vulgatus	891.5235	50	simulation
5	Bacteroides-vulgatus	894.0341	50.1	simulation
5	Bacteroides-vulgatus	896.5518	50.2	simulation
5	Bacteroides-vulgatus	899.0766	50.3	simulation
5	Bacteroides-vulgatus	901.6085	50.4	simulation
5	Bacteroides-vulgatus	904.1475	50.5	simulation
5	Bacteroides-vulgatus	906.6937	50.6	simulation
5	Bacteroides-vulgatus	909.247	50.7	simulation
5	Bacteroides-vulgatus	911.8076	50.8	simulation
5	Bacteroides-vulgatus	914.3753	50.9	simulation
5	Bacteroides-vulgatus	916.9503	51	simulation
5	Bacteroides-vulgatus	919.5325	51.1	simulation
5	Bacteroides-vulgatus	922.122	51.2	simulation
5	Bacteroides-vulgatus	924.7188	51.3	simulation
5	Bacteroides-vulgatus	927.3229	51.4	simulation
5	Bacteroides-vulgatus	929.9344	51.5	simulation
5	Bacteroides-vulgatus	932.5532	51.6	simulation
5	Bacteroides-vulgatus	935.1793	51.7	simulation
5	Bacteroides-vulgatus	937.8129	51.8	simulation
5	Bacteroides-vulgatus	940.4539	51.9	simulation
5	Bacteroides-vulgatus	943.1023	52	simulation
5	Bacteroides-vulgatus	945.7582	52.1	simulation
5	Bacteroides-vulgatus	948.4215	52.2	simulation
5	Bacteroides-vulgatus	951.0924	52.3	simulation
5	Bacteroides-vulgatus	953.7708	52.4	simulation
5	Bacteroides-vulgatus	956.4567	52.5	simulation
5	Bacteroides-vulgatus	959.1502	52.6	simulation
5	Bacteroides-vulgatus	961.8513	52.7	simulation
5	Bacteroides-vulgatus	964.5599	52.8	simulation
5	Bacteroides-vulgatus	967.2763	52.9	simulation
5	Bacteroides-vulgatus	970.0002	53	simulation
5	Bacteroides-vulgatus	972.7318	53.1	simulation
5	Bacteroides-vulgatus	975.4712	53.2	simulation
5	Bacteroides-vulgatus	978.2182	53.3	simulation
5	Bacteroides-vulgatus	980.973	53.4	simulation
5	Bacteroides-vulgatus	983.7355	53.5	simulation
5	Bacteroides-vulgatus	986.5058	53.6	simulation
5	Bacteroides-vulgatus	989.2839	53.7	simulation
5	Bacteroides-vulgatus	992.0698	53.8	simulation
5	Bacteroides-vulgatus	994.8636	53.9	simulation
5	Bacteroides-vulgatus	997.6652	54	simulation
5	Bacteroides-vulgatus	1000.4748	54.1	simulation
5	Bacteroides-vulgatus	1003.2922	54.2	simulation
5	Bacteroides-vulgatus	1006.1176	54.3	simulation
5	Bacteroides-vulgatus	1008.9509	54.4	simulation
5	Bacteroides-vulgatus	1011.7923	54.5	simulation
5	Bacteroides-vulgatus	1014.6416	54.6	simulation
5	Bacteroides-vulgatus	1017.4989	54.7	simulation
5	Bacteroides-vulgatus	1020.3643	54.8	simulation
5	Bacteroides-vulgatus	1023.2378	54.9	simulation
5	Bacteroides-vulgatus	1026.1193	55	simulation
5	Bacteroides-vulgatus	1029.009	55.1	simulation
5	Bacteroides-vulgatus	1031.9068	55.2	simulation
5	Bacteroides-vulgatus	1034.8127	55.3	simulation
5	Bacteroides-vulgatus	1037.7269	55.4	simulation
5	Bacteroides-vulgatus	1040.6492	55.5	simulation
5	Bacteroides-vulgatus	1043.5798	55.6	simulation
5	Bacteroides-vulgatus	1046.5187	55.7	simulation
5	Bacteroides-vulgatus	1049.4658	55.8	simulation
5	Bacteroides-vulgatus	1052.4212	55.9	simulation
